dataset,protocol,nodes,traffic_or_rate,seed,metric,reference_value,rerun_value,absolute_difference,relative_difference_percent,tolerance,status
V3-CaseA,olsr,50,medium,20,AverageHopCount,1.26039,1.26039,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,AverageLinkUtilization,0.0016566,0.0016566,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,MaximumLinkUtilization,0.0424243,0.0424243,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,PacketsReceived,10000,10000,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,PacketLoss,16350,16350,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,PathChanges,500,500,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,25,PDR,37.9507,37.9507,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,ThroughputKbps,160,160,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,AverageDelaySec,0.125625,0.125625,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,AverageJitterSec,0.0664131,0.0664131,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,AverageHopCount,1.1518,1.1518,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,AverageLinkUtilization,0.00150884,0.00150884,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,25,MaximumLinkUtilization,0.0349133,0.0349133,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,PacketsReceived,13963,13963,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,PacketLoss,12387,12387,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,PathChanges,779,779,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,30,PDR,52.9905,52.9905,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,ThroughputKbps,223.408,223.408,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,AverageDelaySec,0.160785,0.160785,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,AverageJitterSec,0.0775558,0.0775558,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,AverageHopCount,1.2705,1.2705,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,AverageLinkUtilization,0.00193115,0.00193115,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,30,MaximumLinkUtilization,0.0602112,0.0602112,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,PacketsSent,51601,51601,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,PacketsReceived,12645,12645,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,PacketLoss,38956,38956,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,PathChanges,3814,3814,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,20,PDR,24.5053,24.5053,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,ThroughputKbps,202.32,202.32,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,AverageDelaySec,0.33169,0.33169,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,AverageJitterSec,0.173015,0.173015,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,AverageHopCount,1.5531,1.5531,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,AverageLinkUtilization,0.000589488,0.000589488,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,20,MaximumLinkUtilization,0.0261581,0.0261581,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,PacketsSent,52691,52691,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,25,PacketsReceived,17476,17476,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,25,PacketLoss,35215,35215,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,25,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
