dataset_stage,protocol,node_count,traffic,mobility,offered_rate_kbps,seed_count,pdr_mean,pdr_sd,throughput_mean,throughput_sd,delay_mean,delay_sd,jitter_mean,jitter_sd,packet_loss_mean,gw_airtime,ring1_airtime,mac_queue_drops_mean,phy_rx_drops_mean,max_retry_drops_mean,routing_failures_mean,mean_hop_count
Offered-rate-sweep,olsr,50,high(label)/offered-rate-varied,static,8,3,41.08,8.73,173.21,36.80,0.14144,0.01457,0.07104,0.00474,15524.3,0.3902,0.3703,29.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",2644.0,0,n/a
Offered-rate-sweep,olsr,50,high(label)/offered-rate-varied,static,4,3,39.18,6.59,82.43,13.86,0.12232,0.01375,0.06368,0.00631,7998.0,0.1928,0.1816,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",747.0,0,n/a
Offered-rate-sweep,olsr,75,high(label)/offered-rate-varied,static,16,3,26.28,1.63,329.98,20.07,0.30038,0.00588,0.13980,0.00869,57873.0,0.8701,0.8631,29747.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",2462.7,0,n/a
Offered-rate-sweep,olsr,75,high(label)/offered-rate-varied,static,12,3,32.29,1.66,304.58,14.20,0.25855,0.02136,0.13948,0.01087,39942.3,0.7854,0.7696,15134.7,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",3057.0,0,n/a
Offered-rate-sweep,olsr,75,high(label)/offered-rate-varied,static,8,3,37.77,1.54,238.83,9.77,0.24195,0.01779,0.12711,0.00478,24598.0,0.6168,0.5853,2009.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",3319.7,0,n/a
Offered-rate-sweep,olsr,75,high(label)/offered-rate-varied,static,4,3,40.95,1.97,129.23,6.20,0.24666,0.02952,0.14729,0.01118,11648.3,0.3588,0.3347,188.7,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",2001.7,0,n/a
Offered-rate-sweep,olsr,100,high(label)/offered-rate-varied,static,16,3,14.53,1.39,230.60,26.73,0.36337,0.00490,0.16603,0.00868,84568.0,0.8896,0.8794,44776.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1757.3,0,n/a
Offered-rate-sweep,olsr,100,high(label)/offered-rate-varied,static,12,3,22.73,1.98,286.73,24.83,0.32418,0.01097,0.16229,0.00593,60916.0,0.8738,0.8617,28474.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",2441.3,0,n/a
Offered-rate-sweep,olsr,100,high(label)/offered-rate-varied,static,8,3,29.29,3.59,245.29,32.14,0.31736,0.01573,0.16946,0.00441,36951.7,0.7584,0.7283,9432.7,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",3305.7,0,n/a
Offered-rate-sweep,olsr,100,high(label)/offered-rate-varied,static,4,3,39.74,3.61,167.22,15.18,0.34575,0.00850,0.20135,0.00922,15848.7,0.5297,0.4884,1934.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",2666.0,0,n/a
